iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,total_deaths_per_million,reproduction_rate,hosp_patients,total_tests,positive_rate,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population,population_density,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
IND,Asia,India,1/30/2020,1,1,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,1/31/2020,1,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/1/2020,1,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/2/2020,2,1,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/3/2020,3,1,0,0,0,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/4/2020,3,0,0.429,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/5/2020,3,0,0.429,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/6/2020,3,0,0.286,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/7/2020,3,0,0.286,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/8/2020,3,0,0.286,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/9/2020,3,0,0.143,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/10/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/11/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/12/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/13/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/14/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/15/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/16/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/17/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/18/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/19/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/20/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/21/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/22/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/23/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/24/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/25/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/26/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/27/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/28/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,2/29/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,3/1/2020,3,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,3/2/2020,5,2,0.286,0,0,0,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
IND,Asia,India,3/3/2020,5,0,0.286,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,10.19,1407563842,450.419,5.989,3.414,6426.674,282.28,10.39,0.53,69.66,0.645
